item_id,Code,Product_Family,Variant,slug
6b1070504219,A-01-05-0078,eFlex Single Rack End Barrier,900 mm,eflex-single-rack-end-barrier-900-mm-a-01-05-0078
3a20b95e077a,A-01-05-0079,eFlex Single Rack End Barrier,1000 mm,eflex-single-rack-end-barrier-1000-mm-a-01-05-0079
4ef2119e74f8,A-01-05-0080,eFlex Single Rack End Barrier,1100 mm,eflex-single-rack-end-barrier-1100-mm-a-01-05-0080
9b1d6fb8540e,A-01-05-0081,eFlex Single Rack End Barrier,1200 mm,eflex-single-rack-end-barrier-1200-mm-a-01-05-0081
9546f9a75700,A-01-05-0082,eFlex Single Rack End Barrier,1300 mm,eflex-single-rack-end-barrier-1300-mm-a-01-05-0082
03ca3e067109,A-01-05-0083,eFlex Single Rack End Barrier,1400 mm,eflex-single-rack-end-barrier-1400-mm-a-01-05-0083
fa1c5e524e62,A-01-05-0084,eFlex Single Rack End Barrier,1500 mm,eflex-single-rack-end-barrier-1500-mm-a-01-05-0084
b55280b89008,A-01-05-0085,eFlex Single Rack End Barrier,1600 mm,eflex-single-rack-end-barrier-1600-mm-a-01-05-0085
5e925dc680eb,A-01-05-0086,eFlex Single Rack End Barrier,1700 mm,eflex-single-rack-end-barrier-1700-mm-a-01-05-0086
674f6181afdd,A-01-05-0087,eFlex Single Rack End Barrier,1800 mm,eflex-single-rack-end-barrier-1800-mm-a-01-05-0087
0c06c25718a2,A-01-05-0088,eFlex Single Rack End Barrier,1900 mm,eflex-single-rack-end-barrier-1900-mm-a-01-05-0088
311b9f2b7fab,A-01-05-0089,eFlex Single Rack End Barrier,2000 mm,eflex-single-rack-end-barrier-2000-mm-a-01-05-0089
77187ea8818f,A-01-05-0090,eFlex Single Rack End Barrier,2100 mm,eflex-single-rack-end-barrier-2100-mm-a-01-05-0090
12eec4008016,A-01-05-0091,eFlex Single Rack End Barrier,2200 mm,eflex-single-rack-end-barrier-2200-mm-a-01-05-0091
c0c2c364a629,A-01-05-0092,eFlex Single Rack End Barrier,2300 mm,eflex-single-rack-end-barrier-2300-mm-a-01-05-0092
394e9ac0df3a,A-01-05-0093,eFlex Single Rack End Barrier,2400 mm,eflex-single-rack-end-barrier-2400-mm-a-01-05-0093
12f6360ae21e,A-01-05-0094,eFlex Single Rack End Barrier,2500 mm,eflex-single-rack-end-barrier-2500-mm-a-01-05-0094
135c7b7e46a0,A-01-05-0095,eFlex Single Rack End Barrier,2600 mm,eflex-single-rack-end-barrier-2600-mm-a-01-05-0095
c70c84de6e05,A-01-05-0193,eFlex Double Rack End Barrier,900 mm,eflex-double-rack-end-barrier-900-mm-a-01-05-0193
db276229b488,A-01-05-0194,eFlex Double Rack End Barrier,1000 mm,eflex-double-rack-end-barrier-1000-mm-a-01-05-0194
4a39f2051586,A-01-05-0195,eFlex Double Rack End Barrier,1100 mm,eflex-double-rack-end-barrier-1100-mm-a-01-05-0195
630258de98ee,A-01-05-0196,eFlex Double Rack End Barrier,1200 mm,eflex-double-rack-end-barrier-1200-mm-a-01-05-0196
5c9a74a16137,A-01-05-0197,eFlex Double Rack End Barrier,1300 mm,eflex-double-rack-end-barrier-1300-mm-a-01-05-0197
1d6215afd85e,A-01-05-0198,eFlex Double Rack End Barrier,1400 mm,eflex-double-rack-end-barrier-1400-mm-a-01-05-0198
a0b5e665cb6f,A-01-05-0199,eFlex Double Rack End Barrier,1500 mm,eflex-double-rack-end-barrier-1500-mm-a-01-05-0199
25225f392b2c,A-01-05-0200,eFlex Double Rack End Barrier,1600 mm,eflex-double-rack-end-barrier-1600-mm-a-01-05-0200
e3235ca369b2,A-01-05-0201,eFlex Double Rack End Barrier,1700 mm,eflex-double-rack-end-barrier-1700-mm-a-01-05-0201
51a9ebc1e054,A-01-05-0202,eFlex Double Rack End Barrier,1800 mm,eflex-double-rack-end-barrier-1800-mm-a-01-05-0202
29344dad4a22,A-01-05-0203,eFlex Double Rack End Barrier,1900 mm,eflex-double-rack-end-barrier-1900-mm-a-01-05-0203
91c5a8cc9050,A-01-05-0204,eFlex Double Rack End Barrier,2000 mm,eflex-double-rack-end-barrier-2000-mm-a-01-05-0204
c9566c853ef7,A-01-05-0205,eFlex Double Rack End Barrier,2100 mm,eflex-double-rack-end-barrier-2100-mm-a-01-05-0205
958bfbacbd8f,A-01-05-0206,eFlex Double Rack End Barrier,2200 mm,eflex-double-rack-end-barrier-2200-mm-a-01-05-0206
0d519e2c261b,A-01-05-0207,eFlex Double Rack End Barrier,2300 mm,eflex-double-rack-end-barrier-2300-mm-a-01-05-0207
baa56e30c21d,A-01-05-0208,eFlex Double Rack End Barrier,2400 mm,eflex-double-rack-end-barrier-2400-mm-a-01-05-0208
3299bc80a08c,A-01-05-0209,eFlex Double Rack End Barrier,2500 mm,eflex-double-rack-end-barrier-2500-mm-a-01-05-0209
b24d10ba6885,A-01-05-0210,eFlex Double Rack End Barrier,2600 mm,eflex-double-rack-end-barrier-2600-mm-a-01-05-0210
fc853352f072,A-01-17-0152,ForkGuard Kerb Barrier,365 mm,forkguard-kerb-barrier-365-mm-a-01-17-0152
6f6524a96cc7,A-01-17-0153,ForkGuard Kerb Barrier,465 mm,forkguard-kerb-barrier-465-mm-a-01-17-0153
513b6b992e33,A-01-17-0154,ForkGuard Kerb Barrier,565 mm,forkguard-kerb-barrier-565-mm-a-01-17-0154
4b5a07d97a1a,A-01-17-0155,ForkGuard Kerb Barrier,665 mm,forkguard-kerb-barrier-665-mm-a-01-17-0155
94e4160b1032,A-01-17-0156,ForkGuard Kerb Barrier,765 mm,forkguard-kerb-barrier-765-mm-a-01-17-0156
3f72f2544fba,A-01-17-0157,ForkGuard Kerb Barrier,865 mm,forkguard-kerb-barrier-865-mm-a-01-17-0157
26b690409d01,A-01-17-0158,ForkGuard Kerb Barrier,965 mm,forkguard-kerb-barrier-965-mm-a-01-17-0158
deef6de8ed07,A-01-17-0159,ForkGuard Kerb Barrier,1065 mm,forkguard-kerb-barrier-1065-mm-a-01-17-0159
230e6ada42b0,A-01-17-0160,ForkGuard Kerb Barrier,1165 mm,forkguard-kerb-barrier-1165-mm-a-01-17-0160
a6da092d6f55,A-01-17-0161,ForkGuard Kerb Barrier,1265 mm,forkguard-kerb-barrier-1265-mm-a-01-17-0161
41e92e22fe38,A-01-17-0162,ForkGuard Kerb Barrier,1365 mm,forkguard-kerb-barrier-1365-mm-a-01-17-0162
3dfb9f91145b,A-01-17-0163,ForkGuard Kerb Barrier,1465 mm,forkguard-kerb-barrier-1465-mm-a-01-17-0163
22118f91f91e,A-01-17-0164,ForkGuard Kerb Barrier,1565 mm,forkguard-kerb-barrier-1565-mm-a-01-17-0164
05c172fc1cd4,A-01-17-0165,ForkGuard Kerb Barrier,1665 mm,forkguard-kerb-barrier-1665-mm-a-01-17-0165
c2ec2cef3f44,A-01-17-0166,ForkGuard Kerb Barrier,1765 mm,forkguard-kerb-barrier-1765-mm-a-01-17-0166
53c352b67013,A-01-17-0167,ForkGuard Kerb Barrier,1865 mm,forkguard-kerb-barrier-1865-mm-a-01-17-0167
daa74973b2f5,A-01-17-0168,ForkGuard Kerb Barrier,1965 mm,forkguard-kerb-barrier-1965-mm-a-01-17-0168
53a1a9625116,A-01-17-0240,HD ForkGuard Kerb Barrier,365 mm,hd-forkguard-kerb-barrier-365-mm-a-01-17-0240
7703cb3316bd,A-01-17-0241,HD ForkGuard Kerb Barrier,565 mm,hd-forkguard-kerb-barrier-565-mm-a-01-17-0241
b3a0304fafec,A-01-17-0228,HD ForkGuard Kerb Barrier,765 mm,hd-forkguard-kerb-barrier-765-mm-a-01-17-0228
7ab67d34bca9,A-01-17-0229,HD ForkGuard Kerb Barrier,965 mm,hd-forkguard-kerb-barrier-965-mm-a-01-17-0229
cbaadb2baa7a,A-01-17-0230,HD ForkGuard Kerb Barrier,1165 mm,hd-forkguard-kerb-barrier-1165-mm-a-01-17-0230
9fad483dc783,A-01-17-0242,HD ForkGuard Kerb Barrier,1365 mm,hd-forkguard-kerb-barrier-1365-mm-a-01-17-0242
27972a2b2034,A-01-17-0232,HD ForkGuard Kerb Barrier,1800 mm,hd-forkguard-kerb-barrier-1800-mm-a-01-17-0232
76f5f193f964,A-01-17-0233,HD ForkGuard Kerb Barrier,2000 mm,hd-forkguard-kerb-barrier-2000-mm-a-01-17-0233
ca8f622fbb47,A-01-17-0234,HD ForkGuard Kerb Barrier,2200 mm,hd-forkguard-kerb-barrier-2200-mm-a-01-17-0234
7308f548811c,A-01-22-0015,Step Guard,600 mm,step-guard-600-mm-a-01-22-0015
aabeee880ab1,A-01-22-0014,Step Guard,900 mm,step-guard-900-mm-a-01-22-0014
ecdb1f1d9147,A-01-22-0013,Step Guard,1200 mm,step-guard-1200-mm-a-01-22-0013
71f8658f8342,A-01-12-0368,Traffic Gate,2000 mm,traffic-gate-2000-mm-a-01-12-0368
497a5702c094,A-01-12-0369,Traffic Gate,2500 mm,traffic-gate-2500-mm-a-01-12-0369
a243d5a3a9df,A-01-12-0371,Traffic Gate,3000 mm,traffic-gate-3000-mm-a-01-12-0371
64d3f83741d4,P-03-01-0017,iFlex RackGuard,"Small Short Leg, No Internal Rubber, Yellow",iflex-rackguard-small-short-leg-no-internal-rubber-yellow-p-03-01-0017
c7403c6db6f9,S-01-07-0057,"Bollard, Yellow",190 OD x 835 mm,bollard-yellow-190-od-x-835-mm-s-01-07-0057
25f02eef95bd,S-01-07-0053,"Bollard, Yellow",190 OD x 1200 mm,bollard-yellow-190-od-x-1200-mm-s-01-07-0053
51f3d5face66,S-01-07-0065,"Bollard, Yellow",210 OD x 1200 mm,bollard-yellow-210-od-x-1200-mm-s-01-07-0065
2433976419c0,S-01-07-0073,"Heavy Duty Bollard, Yellow, GALV",210 OD x 1200 mm,heavy-duty-bollard-yellow-galv-210-od-x-1200-mm-s-01-07-0073
5ee679f7ae93,S-01-07-0078,"Bollard, Grey",190 OD x 1200 mm,bollard-grey-190-od-x-1200-mm-s-01-07-0078
77b740991f8a,S-01-07-0090,"Bollard, Grey",210 OD x 1200 mm,bollard-grey-210-od-x-1200-mm-s-01-07-0090
cda76fc0946e,S-01-07-0103,"Heavy Duty Bollard, Grey, GALV",210 OD x 1200 mm,heavy-duty-bollard-grey-galv-210-od-x-1200-mm-s-01-07-0103
7001735ea540,S-02-02-0007,Alarm Bar,Yellow 2000 mm,alarm-bar-yellow-2000-mm-s-02-02-0007
3b5319e7f33d,A-01-22-0002,Dock Buffer (Pair),,dock-buffer-pair-nan-a-01-22-0002
9b5ae30e0196,A-01-22-0005,Truck Stop,,truck-stop-nan-a-01-22-0005
eb84c62697a4,A-01-22-0011,Coach Stop,,coach-stop-nan-a-01-22-0011
f06fd8af3309,A-01-22-0010,Car Stop,,car-stop-nan-a-01-22-0010
92b63de75dba,A-01-14-0036,FlexiShield Corner Guard,Yellow,flexishield-corner-guard-yellow-a-01-14-0036
5e78907b4867,A-01-14-0037,FlexiShield Corner Guard,Black,flexishield-corner-guard-black-a-01-14-0037
6e5646b876c1,B-03-01-0020,Slider Plate,130 OD,slider-plate-130-od-b-03-01-0020
68d3985b404c,B-03-01-0021,Slider Plate,190 OD,slider-plate-190-od-b-03-01-0021
584626b45e29,A-01-14-0040,FlexiShield Column Guard,100x100 mm,flexishield-column-guard-100x100-mm-a-01-14-0040
5d70d8f29324,A-01-14-0041,FlexiShield Column Guard,150x150 mm,flexishield-column-guard-150x150-mm-a-01-14-0041
e47da9c88e7f,A-01-14-0042,FlexiShield Column Guard,200x200 mm,flexishield-column-guard-200x200-mm-a-01-14-0042
b2d66dd55f5d,A-01-14-0043,FlexiShield Column Guard,250x250 mm,flexishield-column-guard-250x250-mm-a-01-14-0043
68a9c396f507,A-01-14-0044,FlexiShield Column Guard,300x300 mm,flexishield-column-guard-300x300-mm-a-01-14-0044
3a7938dc64b1,A-01-14-0045,FlexiShield Column Guard,350x350 mm,flexishield-column-guard-350x350-mm-a-01-14-0045
b9688e3eff57,A-01-14-0046,FlexiShield Column Guard,400x400 mm,flexishield-column-guard-400x400-mm-a-01-14-0046
6e6808046fca,A-01-14-0047,FlexiShield Column Guard,450x450 mm,flexishield-column-guard-450x450-mm-a-01-14-0047
69618b93114c,A-01-14-0048,FlexiShield Column Guard,500x500 mm,flexishield-column-guard-500x500-mm-a-01-14-0048
57d90d8b3e7c,A-01-14-0049,FlexiShield Column Guard,550x550 mm,flexishield-column-guard-550x550-mm-a-01-14-0049
adbda0b8ca0b,A-01-14-0050,FlexiShield Column Guard,600x600 mm,flexishield-column-guard-600x600-mm-a-01-14-0050
aa0b52630d87,A-01-14-0051,FlexiShield Column Guard Spacer Set,Black 100 mm,flexishield-column-guard-spacer-set-black-100-mm-a-01-14-0051
81e8db527625,S-01-09-0304,"Hydraulic Swing Gate, Self-Close",1000 mm,hydraulic-swing-gate-self-close-1000-mm-s-01-09-0304
9917354d2ef2,S-01-09-0306,"Hydraulic Swing Gate, Self-Close",1200 mm,hydraulic-swing-gate-self-close-1200-mm-s-01-09-0306
fcddcbe7b661,,Monoplex Bollard,130 OD,monoplex-bollard-130-od-nan
35b4a7e99136,,Monoplex Bollard,190 OD,monoplex-bollard-190-od-nan
